,State,School,Abbreviation,Type,Email,Size,Website,Address,Notes
59,NV,Carrington College-Reno,CC,Public,,522,"=HYPERLINK(""https://www.carrington.edu/"",""LINK"")","5580 Kietzke Ln., Reno, NV 89511",
60,CA,Beyond 21St Century Beauty Academy,B2CBA,Public,,86,"=HYPERLINK(""https://www.beyondcosmo.com/"",""LINK"")","13640 Imperial Hwy Ste 6-8, Santa Fe Springs, CA 90670",
61,MN,Centerpoint Massage & Shiatsu Therapy School & Clinic,CMSTSC,Public,,94,"=HYPERLINK(""https://www.centerpointmn.com"",""LINK"")","5300 West 35Th Street, St Louis Park, MN 55416",
62,NJ,National Career Institute,NCI,Public,,210,"=HYPERLINK(""https://www.nciedu.com"",""LINK"")","134 Evergreen Place, East Orange, NJ 7018",
63,NY,Sae Institute Of Technology-New York,SITY,Public,,118,"=HYPERLINK(""https://www.newyork.sae.edu/en-us/home/"",""LINK"")","218 West 18Th St Fl 4, New York, NY 10011",
64,NC,Shepherds Theological Seminary,STS,Private,,105,"=HYPERLINK(""https://www.shepherds.edu"",""LINK"")","6051 Tryon Road, Cary, NC 27518",
65,NJ,Best Care College,BCC,Public,,41,"=HYPERLINK(""https://www.bestcarecollege.edu"",""LINK"")","68 South Harrison, East Orange, NJ 7018",
66,AL,Enterprise State Community College,ESCC,Community,,1804,"=HYPERLINK(""https://www.escc.edu"",""LINK"")","600 Plaza Drive, Enterprise, AL 36330",
67,CA,Diablo Valley College,DVC,Community,,19871,"=HYPERLINK(""https://www.dvc.edu"",""LINK"")","321 Golf Club Rd, Pleasant Hill, CA 94523",
68,SC,Paul Mitchell The School-Charleston,PMS,Public,,209,"=HYPERLINK(""https://www.paulmitchell.edu/charleston"",""LINK"")","4952 Centre Pointe Drive, Suite 114, North Charleston, SC 29418",
69,MI,Mid Michigan College,MMC,Community,,3726,"=HYPERLINK(""https://www.midmich.edu"",""LINK"")","1375 S Clare Ave, Harrison, MI 48625",
70,OH,Devry University-Ohio,DU,Public,,497,"=HYPERLINK(""https://www.devry.edu"",""LINK"")","1350 Alum Creek Dr., Columbus, OH 43209",
71,TX,Devry University-Texas,DU,Public,,415,"=HYPERLINK(""https://www.devry.edu"",""LINK"")","4800 Regent Blvd., Ste. 200, Irving, TX 75063",
72,CT,Ricci'S Academy Of Cosmetology,RAC,Public,,100,"=HYPERLINK(""https://www.newtown.toniguy.edu"",""LINK"")","99 South Main Street, Newtown, CT 6470",
73,MI,Paul Mitchell The School-Farmington Hills,PMSH,Public,,129,"=HYPERLINK(""https://www.paulmitchell.edu/farmingtonhills"",""LINK"")","27590 Orchard Lake Road, Farmington Hills, MI 48334",
74,MI,University Of Phoenix-Michigan,UP,Public,,21,"=HYPERLINK(""https://www.phoenix.edu"",""LINK"")","26261 Evergreen Rd, Southfield, MI 48076",
75,PA,University Of Phoenix-Pennsylvania,UP,Public,,22,"=HYPERLINK(""https://www.phoenix.edu"",""LINK"")","30 S 17Th St, Philadelphia, PA 19103",
76,NY,Empire Beauty School-Buffalo,EBS,Public,,58,"=HYPERLINK(""https://www.empire.edu/"",""LINK"")","2190 Walden Avenue, Cheektowaga, NY 14225",
77,PA,Fountain Of Youth Academy Of Cosmetology,FYAC,Public,,68,"=HYPERLINK(""https://www.fountainofyouthacademy.edu"",""LINK"")","108 Scharberry Lane, Mars, PA 16046",
78,MA,Hult International Business School,HIBS,Private,,2349,"=HYPERLINK(""https://www.hult.edu"",""LINK"")","1 Education Street, Cambridge, MA 2141",
79,CA,Homestead Schools,HS,Private,,182,"=HYPERLINK(""https://www.homesteadschools.net"",""LINK"")","23800 Hawthorne Blvd. Ste 200, Torrance, CA 90505",
80,AL,Fortis Institute-Birmingham,FI,Public,,514,"=HYPERLINK(""https://www.fortis.edu"",""LINK"")","100 London Pkwy Ste 150, Birmingham, AL 35211",
81,MI,Protege Academy,PA,Public,,51,"=HYPERLINK(""https://www.protegeacademy.com"",""LINK"")","4960 Northwind Dr., East Lansing, MI 48823",
82,PA,Devry University-Pennsylvania,DU,Public,,150,"=HYPERLINK(""https://www.devry.edu"",""LINK"")","1015 Virginia Dr., Ste. 110, Ft. Washington, PA 19034",
83,CA,High Tech High Graduate School Of Education,HTHGSE,Private,,59,"=HYPERLINK(""https://www.hthgse.edu"",""LINK"")","2861 Womble Road, San Diego, CA 92106",
84,CA,Aviation Institute Of Maintenance,AIM,Public,,278,"=HYPERLINK(""https://www.aviationmaintenance.edu"",""LINK"")","420 Whitney Place, Freemont, CA 94539",
85,CA,Associated Barber College Of San Diego,ABCSD,Public,,65,"=HYPERLINK(""https://www.sandiegobarbercollege.com"",""LINK"")","1333 5Th Avenue, San Diego, CA 92101",
86,CA,Uei College-Bakersfield,UC,Public,,990,"=HYPERLINK(""https://www.uei.edu"",""LINK"")","3737 Rosedale Highway, Bakersfield, CA 93308",
87,LA,Eastern College Of Health Vocations-New Orleans,ECHVO,Public,,56,"=HYPERLINK(""https://www.easterncollege.edu."",""LINK"")","201 Evans Rd. Bldg 400, New Orleans, LA 70123",
88,FL,Eastern Florida State College,EFSC,Community,,15352,"=HYPERLINK(""https://www.easternflorida.edu"",""LINK"")","1519 Clearlake Rd, Cocoa, FL 32922",
